Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Market_Return_Train,Market_Return_Test,Ratio_Train,Model_train_>_Market_train,Model_test_>_Market_test,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features
CDE,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.41202640515054095,0.43553301734414973,0.30021246257885315,0.1375546843875526,-1.3724493700601086,0,1,100,5,50,1,sqrt
ORCL,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.1013424099871041,-0.0746834818745546,-0.0471552586686306,0.17450861127848635,2.149122130773524,0,0,100,5,50,1,sqrt
AMZN,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.3105254143929052,0.16967751921407523,-0.12816640678403232,-0.322361752526033,-2.422829992543664,1,1,100,5,50,1,sqrt
ASX,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.012017309379653007,-0.22156447164868492,0.2824088635388491,-0.008641360559580341,-0.04255287609979659,0,0,100,5,50,1,sqrt
PTEN,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.1927968046103235,0.5943619950967367,0.05354980546467672,-0.10629204456001942,-3.600326890776454,0,1,100,5,50,1,sqrt
FHN,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.06325013386202599,-0.19058404148507452,0.008100349881279407,0.08941810982787682,-7.808321219334291,0,0,100,5,50,1,sqrt
KMB,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.0668022369899238,-0.0759642063942916,-0.06238832397737312,0.07993660748367577,1.0707490237139805,0,0,100,5,50,1,sqrt
OXY,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.1159036181163419,-0.04368732863343768,0.12368421032864044,0.22146512908027186,-0.937093084140451,0,0,100,5,50,1,sqrt
ERIC,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.06657864461672063,0.12321747698624252,-0.03346960077135388,-0.08336280946996931,1.989227331139972,0,1,100,5,50,1,sqrt
AES,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.10998047680124129,-0.12244589927815432,0.12647083290306452,0.20175760203410167,-0.8696113900470434,0,0,100,5,50,1,sqrt
MSTR,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.23365327663477306,0.045152792165404076,0.2470522640341173,-0.022068592660269434,-0.9457645634144284,0,1,100,5,50,1,sqrt
MRK,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.03271043026143111,-0.11756810861175751,0.13857111558713947,0.2197254432899336,-0.236055184537079,0,0,100,5,50,1,sqrt
NVDA,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.04644103026603958,0.660304697542436,0.5053355612999613,0.16135504149049437,0.09190136974839325,0,1,100,5,50,1,sqrt
CAG,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.024932403715659718,0.07629671771673788,-0.059146178350140514,0.09312638971664877,-0.4215387098733909,1,0,100,5,50,1,sqrt
MCHP,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.10803604502668009,-0.11975217003143578,0.20720938490601604,-0.10487762861252385,0.5213858680951251,0,0,100,5,50,1,sqrt
FE,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.023276254331334786,-0.15763587765016832,-0.00023268977213757643,0.16580459060225838,100.03127390392062,0,0,100,5,50,1,sqrt
BA,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.5385430857194288,0.013818295494245793,0.10273738962494101,0.09113265072326522,-5.241938574509874,0,0,100,5,50,1,sqrt
NVO,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.108690535691665,0.0607973878580422,0.04660669773218868,0.22275889732972481,-2.3320797434785523,0,0,100,5,50,1,sqrt
EQT,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.018039893888296056,0.19465103086047203,0.04935826418693502,0.043155160822583305,-0.36548882310717806,0,1,100,5,50,1,sqrt
INFY,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.03425736325151353,-0.246187617165077,0.027354816741983475,0.12078899836138328,1.2523338604179426,1,0,100,5,50,1,sqrt
UMC,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.05421465001565662,-0.2600808976805044,-0.1822725669327313,0.008558562723257857,0.2974372442763964,1,0,100,5,50,1,sqrt
JNJ,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.056454287293470885,0.0146995225357082,-0.06854728790384372,0.092353717322606,0.8235816327651567,1,0,100,5,50,1,sqrt
PBR-A,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.0529590554721974,-0.32283381675819134,0.45433252291194975,0.14375690829442547,0.1165645266439817,0,0,100,5,50,1,sqrt
KEY,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.0803179359257979,-0.08548223413803961,0.08319913532407654,0.05886303309267937,-0.965369839637686,0,0,100,5,50,1,sqrt
CNC,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.1042995456503145,-0.2099360571257613,-0.027721717593286226,-0.327498307172392,3.762376746654913,0,1,100,5,50,1,sqrt
MDLZ,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.09993638739987828,0.17404717794552382,-0.05487006446886929,0.16111498112829814,-1.821328047765964,1,1,100,5,50,1,sqrt
MDT,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.023407664115799608,0.0625373016694793,0.03482262826859271,-0.22124306500936858,-0.6721969385898275,0,1,100,5,50,1,sqrt
GAP,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.026240948271465628,-0.23429874774040252,-0.15948925568934263,-0.0778973050021753,-0.16453113507895753,1,0,100,5,50,1,sqrt
MSFT,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.09707406751290168,-0.1500510561396954,0.009647883998883994,-0.06395686794232756,10.061695136895365,1,0,100,5,50,1,sqrt
GSK,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.06224119594855351,0.011294442868286602,0.08253037402702326,0.0809738201420374,-0.7541610792672965,0,0,100,5,50,1,sqrt
TXN,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.10865786893486147,0.027507915318535525,-0.033454327397509344,0.00528951487566593,-3.247946600264066,1,1,100,5,50,1,sqrt
GGB,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.2261287616404868,0.6013089143422943,0.5712127878653535,0.20802882188218694,-0.3958748236108992,0,1,100,5,50,1,sqrt
KGC,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.36132562763332576,0.16064764917511218,0.5299479635055077,0.30612848242925783,-0.6818134090811929,0,0,100,5,50,1,sqrt
PLUG,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.053564521514628136,-0.033199478905899665,-0.10764258683497624,-0.21452022595630843,-0.4976145881438762,1,1,100,5,50,1,sqrt
INTC,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.2313639880860383,-0.182884528546667,-0.2370872320175626,-0.16053367215755465,-0.9758601765146917,1,0,100,5,50,1,sqrt
ABEV,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.07118776352754456,0.10338873207312255,0.2768399916349552,0.100024698279504,-0.2571440748394967,0,1,100,5,50,1,sqrt
FCX,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.16707406973411862,-0.13730920769864008,0.37286067555731717,0.0628349642715075,-0.4480871292860047,0,0,100,5,50,1,sqrt
EQNR,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.2024890578732942,0.3176395721373445,0.13494672027845644,0.201070828219104,-1.5005111458467992,0,1,100,5,50,1,sqrt
NKE,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.1494169063638577,-0.026895600049418895,0.033665712170082907,-0.0785092855125558,-4.438251762178294,0,1,100,5,50,1,sqrt
AAPL,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.023423266878916237,-0.06736192114344687,0.4993474068333576,0.023024071964613726,0.046907757121352305,0,0,100,5,50,1,sqrt
AMAT,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.01997932283515981,-0.20382879298300863,0.16472385417842822,-0.25822575265650827,-0.12128979700486056,0,1,100,5,50,1,sqrt
IAG,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.10091143576947983,-0.2258140736369762,0.25507115565987554,0.1777437251079607,-0.3956207259437838,0,0,100,5,50,1,sqrt
HBAN,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.03054124298917729,-0.1315813148748349,-0.035139050488867174,0.06738025474573875,0.8691539061037926,1,0,100,5,50,1,sqrt
