Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Train < Test,Trigger_Up,Trigger_Down
AMAT,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.0756218479640039,-0.005054386685383506,1,0.7722222222222221,-0.11888888888888888
IAG,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.09052016775201917,-0.2687842649752198,0,0.6633333333333333,-0.8811111111111111
HBAN,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.0677860589561118,-0.0004226690622646037,1,0.8811111111111111,-0.11888888888888888
F,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.04160768278894242,0.06198673550899461,1,0.6633333333333333,-0.01
BAC,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.0307654450854314,0.09770767156988522,1,0.11888888888888888,-0.6633333333333333
TU,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.0029753211435132824,-0.063458857783729,0,0.01,-0.11888888888888888
MRVL,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.13228825351240808,-0.34192593863315157,0,0.22777777777777777,-0.99
QCOM,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.1314871223382271,0.2754427855115178,1,0.33666666666666667,-0.6633333333333333
EXC,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.024093495398550695,0.004740516799813896,1,0.7722222222222221,-0.7722222222222221
PBR,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.12985352183820498,-0.18787396759527186,0,0.11888888888888888,-0.7722222222222221
TSM,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.0859328568372085,-0.083582733955648,0,0.8811111111111111,-0.99
CTRA,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.09339280515450926,-0.20563379452087588,0,0.22777777777777777,-0.99
VTRS,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.04456894198221791,0.08543610923187882,1,0.7722222222222221,-0.99
MU,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.04712209787476329,0.24846435714425832,1,0.22777777777777777,-0.5544444444444444
C,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.007165846818412001,0.1381752122968651,1,0.01,-0.22777777777777777
DVN,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.13662305159370486,-0.09208538880790172,0,0.99,-0.99
WMT,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.004812510348657698,0.07218224311324249,1,0.01,-0.01
APH,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.1826321171592007,0.02109768616536641,1,0.44555555555555554,-0.7722222222222221
MS,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.0709216634414063,-0.059344126969027786,0,0.5544444444444444,-0.99
PPL,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.04120430629604179,0.0720832608661435,1,0.22777777777777777,-0.8811111111111111
SONY,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.010024184677173895,0.05505355521740686,1,0.8811111111111111,-0.99
WFC,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.0247494474282674,-0.1526718976544558,0,0.01,-0.99
PFE,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.1217427035526326,-0.1784923707887439,0,0.7722222222222221,-0.22777777777777777
PCG,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.0735674548420474,-0.004034463614706275,1,0.22777777777777777,-0.99
RIG,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.20198930904117862,0.4330634107873931,1,0.01,-0.7722222222222221
CCL,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.10257703637446688,-0.047780544871151506,1,0.33666666666666667,-0.11888888888888888
B,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.03522705122213069,-0.0653043006965282,0,0.99,-0.99
CSCO,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.018333663812416003,-0.1104001477476465,0,0.7722222222222221,-0.22777777777777777
HAL,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.27865586836887507,0.2134750025871831,0,0.01,-0.01
LOW,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.021687902963868494,0.1620318248283914,1,0.99,-0.6633333333333333
CSX,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.0766096827884992,0.11391663624286669,1,0.33666666666666667,-0.33666666666666667
WDC,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.181215203495874,0.31872440401603097,1,0.99,-0.99
NOK,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.017895647982061898,-0.09508204629512837,0,0.99,-0.99
HD,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.005162614080005899,-0.09720678581101197,0,0.8811111111111111,-0.8811111111111111
MNST,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.1262019323236193,-0.4146713092338102,0,0.01,-0.11888888888888888
SBUX,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.1628894852632596,-0.1138694092306517,1,0.33666666666666667,-0.8811111111111111
RF,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.0978878882183003,0.0957894523274011,1,0.5544444444444444,-0.8811111111111111
IPG,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.024479218643060508,-0.06852444983159,0,0.8811111111111111,-0.01
VLY,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.029320145336975002,-0.010135412447858205,1,0.99,-0.11888888888888888
UNH,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.02119500414676439,0.27159215271938514,1,0.7722222222222221,-0.99
NGD,2005-08-10,2006-02-08,2006-02-09,2006-08-09,0.07115383236627171,-0.09670340712931123,0,0.01,-0.99
HL,2005-08-10,2006-02-08,2006-02-09,2006-08-09,-0.3728575448346631,-0.27871772587872606,1,0.5544444444444444,-0.22777777777777777
