Ticker,Train Start,Train End,Test Start,Test End,Precision,F1 Score,Recall,Trigger Up,Trigger Down
CDE,2005-08-10,2007-02-09,2007-02-12,2008-08-11,0.3466685542529769,0.34484171804524544,0.3439153439153439,0.99,-0.495
CDE,2007-02-12,2008-08-11,2008-08-12,2010-02-10,0.4222131803737026,0.4020642294023589,0.3994708994708995,0.99,-0.495
CDE,2008-08-12,2010-02-10,2010-02-11,2011-08-10,0.1807198065460577,0.2246239762425989,0.37037037037037035,0.99,-0.495
CDE,2010-02-11,2011-08-10,2011-08-11,2013-02-12,0.4025422706065773,0.3145592389617377,0.3544973544973545,0.99,-0.495
CDE,2011-08-11,2013-02-12,2013-02-13,2014-08-13,0.21028879388012517,0.2207160108517275,0.3439153439153439,0.99,-0.495
CDE,2013-02-13,2014-08-13,2014-08-14,2016-02-12,0.35314029807801317,0.32969656433625605,0.36507936507936506,0.99,-0.495
CDE,2014-08-14,2016-02-12,2016-02-16,2017-08-14,0.4623300358437513,0.15878155832980448,0.2751322751322751,0.99,-0.495
CDE,2016-02-16,2017-08-14,2017-08-15,2019-02-14,0.34965322674066246,0.3262854161404886,0.31746031746031744,0.99,-0.495
CDE,2017-08-15,2019-02-14,2019-02-15,2020-08-14,0.33683839621523337,0.3139294350512086,0.3439153439153439,0.99,-0.495
CDE,2019-02-15,2020-08-14,2020-08-17,2022-02-14,0.3749700771205672,0.3206231919824153,0.29894179894179895,0.99,-0.495
CDE,2020-08-17,2022-02-14,2022-02-15,2023-08-17,0.40398799075601366,0.3546985282317465,0.3439153439153439,0.99,-0.495
CDE,2022-02-15,2023-08-17,2023-08-18,2025-02-20,0.37076325727138065,0.2967378515916327,0.30687830687830686,0.99,-0.495
ORCL,2005-08-10,2007-02-09,2007-02-12,2008-08-11,0.33323590260308605,0.3292447825907401,0.3439153439153439,0.0,-0.99
ORCL,2007-02-12,2008-08-11,2008-08-12,2010-02-10,0.4312874779541446,0.4130388222428024,0.43915343915343913,0.0,-0.99
ORCL,2008-08-12,2010-02-10,2010-02-11,2011-08-10,0.42379493322889544,0.2804593182302161,0.3783068783068783,0.0,-0.99
ORCL,2010-02-11,2011-08-10,2011-08-11,2013-02-12,0.3644999303369436,0.34018427512036703,0.36507936507936506,0.0,-0.99
ORCL,2011-08-11,2013-02-12,2013-02-13,2014-08-13,0.12755102040816327,0.1879699248120301,0.35714285714285715,0.0,-0.99
ORCL,2013-02-13,2014-08-13,2014-08-14,2016-02-12,0.3675939186590816,0.30327033031064493,0.3941798941798942,0.0,-0.99
ORCL,2014-08-14,2016-02-12,2016-02-16,2017-08-14,0.494078333087621,0.23443766110432776,0.29894179894179895,0.0,-0.99
ORCL,2016-02-16,2017-08-14,2017-08-15,2019-02-14,0.34026851527678337,0.3385594890729938,0.3492063492063492,0.0,-0.99
ORCL,2017-08-15,2019-02-14,2019-02-15,2020-08-14,0.349385380783058,0.34228120023630365,0.36772486772486773,0.0,-0.99
ORCL,2019-02-15,2020-08-14,2020-08-17,2022-02-14,0.4014854639585822,0.3577026533266548,0.37566137566137564,0.0,-0.99
ORCL,2020-08-17,2022-02-14,2022-02-15,2023-08-17,0.4409465304573801,0.3981254703813783,0.3994708994708995,0.0,-0.99
ORCL,2022-02-15,2023-08-17,2023-08-18,2025-02-20,0.3168350836612646,0.2932771165080484,0.30423280423280424,0.0,-0.99
AMZN,2005-08-10,2007-02-09,2007-02-12,2008-08-11,0.33323590260308605,0.3292447825907401,0.3439153439153439,0.0,-0.99
AMZN,2007-02-12,2008-08-11,2008-08-12,2010-02-10,0.4312874779541446,0.4130388222428024,0.43915343915343913,0.0,-0.99
AMZN,2008-08-12,2010-02-10,2010-02-11,2011-08-10,0.42379493322889544,0.2804593182302161,0.3783068783068783,0.0,-0.99
AMZN,2010-02-11,2011-08-10,2011-08-11,2013-02-12,0.3644999303369436,0.34018427512036703,0.36507936507936506,0.0,-0.99
AMZN,2011-08-11,2013-02-12,2013-02-13,2014-08-13,0.12755102040816327,0.1879699248120301,0.35714285714285715,0.0,-0.99
AMZN,2013-02-13,2014-08-13,2014-08-14,2016-02-12,0.3675939186590816,0.30327033031064493,0.3941798941798942,0.0,-0.99
AMZN,2014-08-14,2016-02-12,2016-02-16,2017-08-14,0.494078333087621,0.23443766110432776,0.29894179894179895,0.0,-0.99
AMZN,2016-02-16,2017-08-14,2017-08-15,2019-02-14,0.34026851527678337,0.3385594890729938,0.3492063492063492,0.0,-0.99
AMZN,2017-08-15,2019-02-14,2019-02-15,2020-08-14,0.349385380783058,0.34228120023630365,0.36772486772486773,0.0,-0.99
AMZN,2019-02-15,2020-08-14,2020-08-17,2022-02-14,0.4014854639585822,0.3577026533266548,0.37566137566137564,0.0,-0.99
AMZN,2020-08-17,2022-02-14,2022-02-15,2023-08-17,0.4409465304573801,0.3981254703813783,0.3994708994708995,0.0,-0.99
AMZN,2022-02-15,2023-08-17,2023-08-18,2025-02-20,0.3168350836612646,0.2932771165080484,0.30423280423280424,0.0,-0.99
ASX,2005-08-10,2007-02-09,2007-02-12,2008-08-11,0.33194707730237255,0.3187463141314256,0.31746031746031744,0.7424999999999999,-0.99
ASX,2007-02-12,2008-08-11,2008-08-12,2010-02-10,0.44110420156931784,0.41144523198372773,0.4126984126984127,0.7424999999999999,-0.99
ASX,2008-08-12,2010-02-10,2010-02-11,2011-08-10,0.4053859720526387,0.2624353912909591,0.37037037037037035,0.7424999999999999,-0.99
ASX,2010-02-11,2011-08-10,2011-08-11,2013-02-12,0.35454324976374335,0.32613651549476175,0.3492063492063492,0.7424999999999999,-0.99
ASX,2011-08-11,2013-02-12,2013-02-13,2014-08-13,0.22991261597493892,0.21950631938280715,0.3544973544973545,0.7424999999999999,-0.99
ASX,2013-02-13,2014-08-13,2014-08-14,2016-02-12,0.3700194976230796,0.3190969918111139,0.3862433862433862,0.7424999999999999,-0.99
ASX,2014-08-14,2016-02-12,2016-02-16,2017-08-14,0.4346778589499754,0.19292794855947754,0.2777777777777778,0.7424999999999999,-0.99
ASX,2016-02-16,2017-08-14,2017-08-15,2019-02-14,0.3277696961907488,0.3016279062779038,0.2962962962962963,0.7424999999999999,-0.99
ASX,2017-08-15,2019-02-14,2019-02-15,2020-08-14,0.3424273980258458,0.322227869642245,0.3439153439153439,0.7424999999999999,-0.99
ASX,2019-02-15,2020-08-14,2020-08-17,2022-02-14,0.3970114499869467,0.30894548280436557,0.29365079365079366,0.7424999999999999,-0.99
ASX,2020-08-17,2022-02-14,2022-02-15,2023-08-17,0.43184819980528105,0.3460203380536802,0.3333333333333333,0.7424999999999999,-0.99
ASX,2022-02-15,2023-08-17,2023-08-18,2025-02-20,0.3237752505848403,0.2484425270361064,0.2671957671957672,0.7424999999999999,-0.99
PTEN,2005-08-10,2007-02-09,2007-02-12,2008-08-11,0.3309764869253071,0.3197339299282189,0.3201058201058201,0.495,-0.99
PTEN,2007-02-12,2008-08-11,2008-08-12,2010-02-10,0.43808631054080316,0.4126103121750301,0.42063492063492064,0.495,-0.99
PTEN,2008-08-12,2010-02-10,2010-02-11,2011-08-10,0.40514346764346765,0.27020645425940104,0.373015873015873,0.495,-0.99
PTEN,2010-02-11,2011-08-10,2011-08-11,2013-02-12,0.3521448397996509,0.333092247489996,0.3544973544973545,0.495,-0.99
PTEN,2011-08-11,2013-02-12,2013-02-13,2014-08-13,0.2891289970094318,0.21330235799147518,0.36507936507936506,0.495,-0.99
PTEN,2013-02-13,2014-08-13,2014-08-14,2016-02-12,0.3666023943436807,0.31289038773051564,0.3862433862433862,0.495,-0.99
PTEN,2014-08-14,2016-02-12,2016-02-16,2017-08-14,0.4674950502018171,0.2096187184284161,0.2857142857142857,0.495,-0.99
PTEN,2016-02-16,2017-08-14,2017-08-15,2019-02-14,0.32223888593191286,0.3047785754146188,0.30158730158730157,0.495,-0.99
PTEN,2017-08-15,2019-02-14,2019-02-15,2020-08-14,0.3410802325569611,0.32644730366155233,0.3492063492063492,0.495,-0.99
PTEN,2019-02-15,2020-08-14,2020-08-17,2022-02-14,0.40801218844541437,0.3403773731286828,0.335978835978836,0.495,-0.99
PTEN,2020-08-17,2022-02-14,2022-02-15,2023-08-17,0.4352944836404953,0.36502450096200095,0.3544973544973545,0.495,-0.99
PTEN,2022-02-15,2023-08-17,2023-08-18,2025-02-20,0.3253537247086921,0.26924961934046593,0.2830687830687831,0.495,-0.99
FHN,2005-08-10,2007-02-09,2007-02-12,2008-08-11,0.35342012571761927,0.3537779517534764,0.37566137566137564,0.0,-0.495
FHN,2007-02-12,2008-08-11,2008-08-12,2010-02-10,0.4106355505165029,0.41083323817136763,0.4444444444444444,0.0,-0.495
FHN,2008-08-12,2010-02-10,2010-02-11,2011-08-10,0.40436653019278135,0.2518490450812739,0.3835978835978836,0.0,-0.495
FHN,2010-02-11,2011-08-10,2011-08-11,2013-02-12,0.38724058358818797,0.3272366908063484,0.373015873015873,0.0,-0.495
FHN,2011-08-11,2013-02-12,2013-02-13,2014-08-13,0.12755102040816327,0.1879699248120301,0.35714285714285715,0.0,-0.495
FHN,2013-02-13,2014-08-13,2014-08-14,2016-02-12,0.3577681439992413,0.31254554946050067,0.3941798941798942,0.0,-0.495
FHN,2014-08-14,2016-02-12,2016-02-16,2017-08-14,0.5254791638076941,0.2072768909443,0.30158730158730157,0.0,-0.495
FHN,2016-02-16,2017-08-14,2017-08-15,2019-02-14,0.3639635086070904,0.3679005068532527,0.3783068783068783,0.0,-0.495
FHN,2017-08-15,2019-02-14,2019-02-15,2020-08-14,0.3414696475997315,0.3364288539650152,0.3730158730158731,0.0,-0.495
FHN,2019-02-15,2020-08-14,2020-08-17,2022-02-14,0.3813000987007103,0.38107385499243007,0.3994708994708995,0.0,-0.495
FHN,2020-08-17,2022-02-14,2022-02-15,2023-08-17,0.4257679491102776,0.421004480787801,0.42328042328042326,0.0,-0.495
FHN,2022-02-15,2023-08-17,2023-08-18,2025-02-20,0.3597443028774564,0.35974141041344243,0.35978835978835977,0.0,-0.495
KMB,2005-08-10,2007-02-09,2007-02-12,2008-08-11,0.33669331595779173,0.33752832180190867,0.3544973544973545,0.0,-0.7424999999999999
KMB,2007-02-12,2008-08-11,2008-08-12,2010-02-10,0.42867517377321307,0.41430414067229987,0.4417989417989418,0.0,-0.7424999999999999
KMB,2008-08-12,2010-02-10,2010-02-11,2011-08-10,0.420200364956015,0.2710113068765223,0.3862433862433862,0.0,-0.7424999999999999
KMB,2010-02-11,2011-08-10,2011-08-11,2013-02-12,0.37324534532695297,0.3350654677757402,0.36772486772486773,0.0,-0.7424999999999999
KMB,2011-08-11,2013-02-12,2013-02-13,2014-08-13,0.12755102040816327,0.1879699248120301,0.35714285714285715,0.0,-0.7424999999999999
