Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Market_Return_Train,Market_Return_Test,Ratio_Train,Ratio_Test,Model_train_>_Market_train,Model_test_>_Market_test,Trigger_Up,Trigger_Down,Alpha
FHN,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.15214901746475906,-0.06554920475479027,0.0994432416026606,-0.019505122371031622,1.5300086261537187,3.360614894277302,1,0,0.0,0.0,0.12
OXY,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.13159735193666114,0.0979891772711412,0.1316449831998357,-0.016996687342790695,0.9996381839853156,-5.765192669305895,0,1,0.0,-1.1111111111111112,0.12
ERIC,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.14555009275003752,-0.0456438355383523,0.050142296270951695,-0.07303772408633095,2.902740870971185,0.6249350744336045,1,1,0.5555555555555556,-1.1111111111111112,0.12
MCHP,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.2732550795735606,-0.068025335477547,0.17508559835615325,-0.00012647842767108536,1.5606942097985368,537.8414068717782,1,0,0.5555555555555556,-0.5555555555555556,0.01
FE,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0276327641675659,-0.1072287203378631,0.006943590978036518,0.11466787085224242,3.9796071305138696,-0.9351243686737222,1,0,0.5555555555555556,-1.1111111111111112,0.12
EQT,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.028340685804461935,0.1635329926477629,0.005565682026318374,-0.026738565345762487,5.092041850477205,-6.115997269602182,1,1,0.0,0.0,0.01
INFY,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.029867871296933097,-0.1051529894977763,0.004366476602883787,0.2967905386638912,6.840268255922227,-0.3543003424946095,1,0,0.5555555555555556,-2.7777777777777777,0.12
CNC,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0292589344756638,-0.0296204744317176,0.01103755912151564,-0.4504689094056426,2.650851891577099,0.06575475868201298,1,1,1.6666666666666667,-1.1111111111111112,0.01
MDLZ,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.24516063878393923,0.11395199805848179,0.0037064629172340125,0.1321406920077886,66.14409593685966,0.8623535742628414,1,0,0.0,0.0,0.12
GAP,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0658531946628894,-0.2168148439271837,0.033784398783150385,0.004466230725245891,1.949219078473967,-48.545374671669435,1,0,0.0,0.0,0.12
MSFT,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.09565745840301547,-0.23167294170113467,0.06507073647134928,-0.013692842671027654,1.4700534155646687,16.919272883440463,1,0,0.0,0.0,0.12
TU,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.21841469690649554,-0.20575812097015356,0.04262264327608359,0.3314325915511197,5.124381786735698,-0.6208143864403803,1,0,0.0,0.0,0.12
EXC,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.07200152865144079,-0.0356259295300792,0.009171587055205222,0.08821485500626512,7.850498307223415,-0.40385408475192763,1,0,0.5555555555555556,-1.1111111111111112,0.12
CTRA,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0983046325033998,0.22327950417148237,0.08127250707956933,0.030112209211430367,1.2095681065573045,7.414916076191685,1,1,1.1111111111111112,-0.5555555555555556,0.12
MU,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.3151298194633826,0.24730188967625094,0.17109483683652035,0.22991565467746153,1.8418429526572238,1.0756200573779102,1,1,0.0,0.0,0.12
C,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.08497430756502788,-0.0355750035721333,0.06686225621781769,0.06268179909974729,1.270886033043911,-0.5675491782793568,1,0,0.0,0.0,0.12
DVN,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.011765115066183,0.010684069440752002,0.009679961896247844,0.14840528170413175,1.215409233247437,0.07199251480855176,1,0,1.1111111111111112,-1.6666666666666667,0.12
PFE,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.1009770609424453,0.041322430623133496,0.05606472343358952,0.0833564595447638,1.801080158043692,0.4957315947535256,1,0,0.5555555555555556,-1.1111111111111112,0.12
CCL,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.10098365054384001,0.1425882231945876,0.05986988059730861,-0.10587111649616959,1.6867187563487411,-1.3468094784827025,1,1,0.0,0.0,0.01
HAL,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.37872143067511976,0.09019287583143808,0.12255770421265845,-0.12977569266431352,3.0901478867291257,-0.6949905177137987,1,1,0.0,0.0,0.01
LOW,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.08877492617103798,0.1634447256801155,0.06257058785567442,-0.12927676283240536,1.418796421983546,-1.2643008851637596,1,1,0.0,-0.5555555555555556,0.12
EXAS,2005-09-16,2006-03-17,2006-03-20,2006-09-15,1.082625555263046,-0.12237152552301478,0.45926943266774445,0.30559527220997723,2.3572776201856755,-0.40043657952578604,1,0,0.0,-0.5555555555555556,0.12
