Start,End,Return_Predicted_Train,Market_Return_Train,Return_Predicted_Test,Market_Return_Test
2006-03-20,2006-09-15,1.2366378297641587,1.1942132506223253,1.0411875536465727,1.0211136629002375
2006-09-18,2007-03-20,1.5429560840824144,1.3214389701184925,0.962169659292336,1.1427255569917687
2007-03-21,2007-09-18,1.7582496267299472,1.480198903624312,0.9477235253264552,1.2528597167752513
2007-09-19,2008-03-19,2.1420955597329794,1.8078595136883482,0.9284841209152591,1.1752534906915626
2008-03-20,2008-09-17,2.1896316574538006,1.8556204164305996,0.9025771722150743,1.0824724363336702
2008-09-18,2009-03-19,2.286470421978031,1.916673752416891,0.8661008869934806,0.8736423922479799
2009-03-20,2009-09-17,2.469466452517548,1.8776403300778997,0.8723149883601213,1.3292812051099245
2009-09-18,2010-03-19,4.397807658012149,3.1818585159642954,0.95130883225347,1.604806841940495
2010-03-22,2010-09-17,5.522653886966897,3.7795069085102257,0.9319756804402982,1.6670795878209193
2010-09-20,2011-03-18,6.429130037905741,4.424933292808286,0.9216385799781956,1.9707762757028817
2011-03-21,2011-09-16,7.7098211365088085,5.407922877719129,0.9559645369574225,1.797993003746637
2011-09-19,2012-03-19,8.724689516109397,6.564914255973487,0.9725562879558584,2.0159751987696986
2012-03-20,2012-09-17,10.919652078067779,7.830746571641286,0.970444910243607,1.8882305214625072
2012-09-18,2013-03-21,12.838155939676495,8.596532956596217,0.9674387586437945,1.9444934423543456
2013-03-22,2013-09-19,15.53339408989202,10.297208255559891,0.9827564381277331,2.283988075192753
2013-09-20,2014-03-21,19.45652635252122,12.104862297212556,1.1058484595391664,2.7556921369004765
2014-03-24,2014-09-19,22.02225359442574,13.63042866029992,1.1335537807013372,3.0004332396431623
2014-09-22,2015-03-23,25.21296870578732,15.289566776207753,1.137321769639573,3.277960208569022
2015-03-24,2015-09-21,28.78864521589342,17.638415411104717,1.1379503037278795,3.2534310019052177
2015-09-22,2016-03-22,30.817238142377846,18.503008185626598,1.1334495225447139,3.4521757170220013
2016-03-23,2016-09-20,42.49344667042917,22.17643716796411,1.169098201946014,4.2308486945236465
2016-09-21,2017-03-22,54.1297316573343,29.88809071606173,1.2506212437183377,4.809642631063041
2017-03-23,2017-09-20,63.150277119940334,35.27981685275407,1.2661306118624405,5.151355365773861
2017-09-21,2018-03-22,69.99010295412508,39.559330970889135,1.3898620237799721,5.767605476545956
2018-03-23,2018-09-20,88.27485348678711,44.801349907638524,1.35852058443202,6.439263838579251
2018-09-21,2019-03-25,103.29115126189936,57.88295071150692,1.3379403578199758,6.231711696097503
2019-03-26,2019-09-23,123.92571963329631,67.68873270826401,1.3594411626502707,6.5859114194091
2019-09-24,2020-03-24,150.13537086257037,77.82156084232979,1.3008059706942474,5.898364109366539
2020-03-25,2020-09-22,155.58812073252895,73.45762692043178,1.3215615937333347,8.469705586988109
2020-09-23,2021-03-24,238.1700717136938,116.84211677274847,1.3483813019100257,13.307079670695133
2021-03-25,2021-09-22,335.60789985698557,170.1843885994138,1.2979457726565478,14.221431799831764
2021-09-23,2022-03-23,407.2638691747959,203.32708805516307,1.3686036631300578,16.600762444784127
2022-03-24,2022-09-22,517.0210504186373,263.34734551494967,1.3432203165375043,14.417473217938825
2022-09-23,2023-03-24,573.6046573457947,260.58759509891195,1.3374829309090543,15.348520374879477
2023-03-27,2023-09-25,737.4300736156775,319.1461115808054,1.3888267869749868,17.817806655773058
2023-09-26,2024-03-26,884.6006823665233,366.8777039595251,1.4768677406395418,22.17583901168846
2024-03-27,2024-09-25,1085.311014540538,447.44064625112935,1.604487404289629,24.1760159277362
2024-09-26,2025-03-28,1332.7590571540386,488.3862409286933,1.672374888563346,24.594327656731732
2025-03-31,2025-09-29,1595.716170209186,551.0369961536265,1.717237860614,27.14873307708634
