Start,End,Return_Predicted_Train,Market_Return_Train,Return_Predicted_Test,Market_Return_Test
2006-03-20,2006-09-15,1.2538535413179803,1.1262149314699117,1.01017775817679,1.015180786780863
2006-09-18,2007-03-20,1.6225621904553522,1.242830038227564,0.9877584038316464,1.1283762869312775
2007-03-21,2007-09-18,2.0168550388586124,1.3694163448574352,0.9428378695181145,1.284165984450483
2007-09-19,2008-03-19,2.4485382132787223,1.5819229969913333,0.9338483483888207,1.2188785794286787
2008-03-20,2008-09-17,2.61048580976002,1.7995225378397421,0.8799211234285368,1.1163709239773962
2008-09-18,2009-03-19,3.0522710331188043,1.9745958078904153,0.8138441417956677,0.8511231696597884
2009-03-20,2009-09-17,3.9994705579647616,2.1470710219295253,0.8172433654107751,1.2758722075222784
2009-09-18,2010-03-19,7.243090071779188,3.423826030345211,0.8298708190816142,1.456812397846907
2010-03-22,2010-09-17,8.901636516830353,3.788833227545034,0.8709108160484162,1.474957520894834
2010-09-20,2011-03-18,11.30830373308546,4.29350192340532,0.8448889450593291,1.772079811375428
2011-03-21,2011-09-16,13.869704887119576,4.854015259419488,0.773266946253328,1.5225843847548979
2011-09-19,2012-03-19,16.24895562078202,5.69231500061086,0.7735395076058234,1.7156757362803423
2012-03-20,2012-09-17,21.08847421723451,6.482279705192195,0.7807271493758096,1.628197795994404
2012-09-18,2013-03-21,25.878215290548745,7.021158891732922,0.8008519739838242,1.6970776064033544
2013-03-22,2013-09-19,31.270023771957955,7.835268827008139,0.8208347945938237,1.9573450679824882
2013-09-20,2014-03-21,39.74340537303772,8.792590881499459,0.886692020803416,2.3132165640461695
2014-03-24,2014-09-19,47.042337232802105,9.697523804860609,0.8690743913097042,2.528701697910208
2014-09-22,2015-03-23,56.11095215007316,10.758549719760829,0.851345013736026,2.7892514195899607
2015-03-24,2015-09-21,64.99642350064941,12.074483454624932,0.8650229103442441,2.735472570911687
2015-09-22,2016-03-22,79.69860739960286,13.588216752242474,0.8526962571802728,2.899901701314995
2016-03-23,2016-09-20,114.51558659268935,15.296264758347544,0.8381442542432052,3.3352026888836424
2016-09-21,2017-03-22,137.10149744835275,17.04522990518909,0.8727000602106413,4.0436924629936914
2017-03-23,2017-09-20,163.4286452298559,19.417991699325217,0.8918920634901348,4.464080551934091
2017-09-21,2018-03-22,190.68897764707484,21.403164894216548,0.9532762354680384,5.002628174978197
2018-03-23,2018-09-20,236.47217883453095,22.964179236182055,0.9699312958263219,5.693129368827459
2018-09-21,2019-03-25,279.7739124992887,26.85467772922432,0.9285671143769715,5.446819380000519
2019-03-26,2019-09-23,330.9012519044182,29.822509940842465,0.9552323386137417,5.83452754832774
2019-09-24,2020-03-24,396.9563325075423,32.81030410000649,0.8528564892647637,4.860415990166459
2020-03-25,2020-09-22,423.92934691841344,33.982204978841715,0.759491917099644,7.2510437337515
2020-09-23,2021-03-24,682.3774381233178,50.12595815395507,0.7457713799830812,12.766326251904895
2021-03-25,2021-09-22,898.4810208658437,63.234454600298726,0.725922785393236,14.134107612718523
2021-09-23,2022-03-23,1112.6773826479996,71.56348316791383,0.7841640439272515,17.11524871349335
2022-03-24,2022-09-22,1511.7749298184594,91.20706971968364,0.7766030760985257,14.41922303717577
2022-09-23,2023-03-24,1840.141372506239,98.53306474734406,0.7544933787478785,15.064148212159788
2023-03-27,2023-09-25,2446.5885214663904,113.73618120216473,0.8009889135278642,17.77105982180888
2023-09-26,2024-03-26,3015.882692278474,123.68692255208396,0.8125106400933865,21.325114105185072
2024-03-27,2024-09-25,3682.829130517845,140.9697299540827,0.8171029642276179,23.59124672397813
2024-09-26,2025-03-28,4687.73060892953,153.6098535753514,0.8246250749860675,23.261833050477883
2025-03-31,2025-09-29,5853.036854727794,171.81010393854257,0.8144733584279119,25.7700358969421
