Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Market_Return_Train,Market_Return_Test,Ratio_Train,Model_train_>_Market_train,Model_test_>_Market_test,Trigger_Up,Trigger_Down
EQNR,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.026949717202142492,0.13318990644768822,0.10140440804129967,-0.023009690239194094,0.26576475049453957,0,1,0.0,-1.1111111111111112
NKE,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.02948588080962592,-0.025546385942711497,0.09790689401510212,-0.02095584216454312,0.30116245751885184,0,0,0.0,-2.2222222222222223
AAPL,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.13091488125316067,-0.10721433394768412,0.27437159311101683,0.18768990697996685,0.47714444403211087,0,0,0.5555555555555556,-1.6666666666666667
AMAT,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.4087875509855962,-0.06227269325424519,-0.0043592187070918935,0.01015074585045013,-93.77541675542706,1,0,0.0,0.0
IAG,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0338999083511191,-0.1006014577321512,0.10551941453864654,0.14984731030441,0.3212670246450547,0,0,1.1111111111111112,-2.2222222222222223
HBAN,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0,-0.0066775684542684,0.03255673176259549,0.04294248132333738,0.0,0,0,1.6666666666666667,-2.2222222222222223
F,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.15174166937541697,-0.3233634722220606,-0.19267835667102945,0.07665113897474372,-0.7875387355233365,1,0,0.5555555555555556,0.0
BAC,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0670923090565856,0.03213104635442679,0.0964030102643218,0.11882234146143134,0.6959565772129844,0,0,0.0,-0.5555555555555556
TU,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.266334973034762,-0.27724590075216854,0.04262264327608359,0.3314325915511197,6.248673300470969,1,0,0.0,0.0
MRVL,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.18897290612586357,-0.18159590201817438,0.18349852361362426,-0.25570491564815445,1.0298333872362166,1,1,0.0,0.0
QCOM,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.1434201490942919,0.165934833198452,0.18361363730758312,-0.2792848511635897,0.7810974783645264,0,1,0.0,-0.5555555555555556
EXC,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.03565825646267019,-0.040424262038472394,0.009171587055205222,0.08821485500626512,3.8879047048278066,1,0,1.1111111111111112,-1.1111111111111112
PBR,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.10104894800783845,0.13183550422545748,0.30358026195138077,-0.05054339145573181,0.33285743729947015,0,1,0.0,-0.5555555555555556
TSM,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.06190386242477251,-0.04950327746562243,0.17227613559283142,0.1011168609017666,0.35932929544623704,0,0,0.5555555555555556,-2.2222222222222223
CTRA,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.07404070716769351,0.1473121496696293,0.08127250707956933,0.030112209211430367,0.9110178808093667,0,1,1.1111111111111112,-1.6666666666666667
VTRS,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.1305115784928197,-0.1698895479785434,0.3362087869963733,-0.09980028892518827,0.3881861020313771,0,0,0.5555555555555556,-1.6666666666666667
MU,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.46525846696942813,0.03049485989131471,0.17109483683652035,0.22991565467746153,2.7193016199195923,1,0,0.0,0.0
C,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0659489309787618,0.04315317980854529,0.06686225621781769,0.06268179909974729,0.9863401971348298,0,0,0.0,-1.6666666666666667
DVN,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.017939892232872102,-0.09911822874353199,0.009679961896247844,0.14840528170413175,1.8533019473791503,1,0,1.6666666666666667,-1.6666666666666667
WMT,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.07136853397103,0.1290885188968946,0.07530804799501845,0.024245800183193108,0.9476880077379108,0,1,0.0,-1.1111111111111112
APH,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0,0.006636474738826309,0.2426828663331461,0.21268984048516748,0.0,0,0,1.6666666666666667,-1.6666666666666667
MS,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0811118855481553,0.24895277292090232,0.16394081842837338,0.18304241388819414,0.4947632098322939,0,1,0.5555555555555556,-2.2222222222222223
PPL,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0850365683244544,0.02467795662605081,-0.0060751987571903,0.08382993539694428,-13.997331070659934,1,0,0.5555555555555556,-0.5555555555555556
SONY,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0280874415902715,0.1206687634847889,0.2711735151148642,-0.09023638303173907,0.10357737767412192,0,1,1.6666666666666667,-1.1111111111111112
WFC,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.060290539623526505,0.07549666271850031,0.1025612945966851,0.1178351460841749,0.5878488552685953,0,0,0.0,-1.6666666666666667
PFE,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.07605783171371781,-0.026508853637226996,0.05606472343358952,0.0833564595447638,1.3566076323164382,1,0,0.0,-1.1111111111111112
PCG,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.014165670383542708,-0.0618790658993705,0.0730666749550787,0.06178387631040189,0.19387320405987743,0,0,0.5555555555555556,-2.2222222222222223
RIG,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.16507244005617389,0.44859319871223513,0.3360198057170624,-0.07589944516752026,0.49125806648185866,0,1,0.5555555555555556,-1.1111111111111112
CCL,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.1306221721162196,0.23172509867999938,0.05986988059730861,-0.10587111649616959,2.181767707118019,1,1,0.0,0.0
B,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.008316585864125,0.02867811196347039,-0.057736763680109514,0.12565430384879014,-0.14404315957511987,1,0,1.6666666666666667,-1.6666666666666667
CSCO,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.14763226535859042,0.17204740319007691,0.17145810418621363,0.07082141814075105,0.861039879446311,0,1,0.0,-1.6666666666666667
HAL,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.459771355764289,0.2461480622783595,0.12255770421265845,-0.12977569266431352,3.751468410068351,1,1,0.5555555555555556,0.0
LOW,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.1877460829847384,0.28036795293170264,0.06257058785567442,-0.12927676283240536,3.0005484912143436,1,1,0.0,0.0
CSX,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.15777308490487202,0.1622406259106953,0.29600431334139937,0.08679413359974397,0.5330094116665892,0,1,0.0,-1.6666666666666667
WDC,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.4419883254014888,-0.045741427906457494,0.45149822939220846,-0.15619509299959572,0.9789370071206668,0,1,0.0,-1.6666666666666667
NOK,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0991782208021547,0.02682878103767291,0.22379273242347414,-0.037912148971024594,0.44316998022296666,0,1,0.5555555555555556,-2.7777777777777777
HD,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.030096375183432597,0.07411846376380361,0.08717945895864111,-0.12127723325737619,0.34522323885619255,0,1,1.6666666666666667,-1.1111111111111112
MNST,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.571849014908365,0.6189606815955366,1.0184920845936007,0.2754649138314095,0.5614663320005521,0,1,0.0,-1.1111111111111112
SBUX,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.06208716007008568,-0.055498224812550095,0.4637725040349861,-0.06455102956794426,0.13387417220707407,0,1,0.5555555555555556,-1.6666666666666667
RF,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0520871618214211,-0.02876151303974111,0.1276224583512355,0.04461990302290137,0.4081347632253696,0,0,0.5555555555555556,-1.6666666666666667
IPG,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.1445370358074158,-0.06759371211784419,-0.09665128082284478,-0.02461797205088763,-1.4954487367047142,1,0,1.1111111111111112,0.0
VLY,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.06035396741056331,-0.07962875041812528,0.10412599835818911,0.11436749397407911,0.5796243816356811,0,0,0.0,-1.1111111111111112
UNH,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0204472971907196,0.07229114830312028,0.06043578104162575,-0.05863704154626727,0.3383309827109923,0,1,1.6666666666666667,-1.6666666666666667
NGD,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.2204723554118287,0.05278444984407088,0.4899506186660836,0.09086813802084476,0.4499889315622793,0,0,0.0,-2.2222222222222223
HL,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.06300148921647702,0.10449991636408518,0.2735379605013533,0.13411269831825237,0.23032082677301868,0,0,1.1111111111111112,-1.6666666666666667
SLB,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.24847909662766218,-0.0067448354444399165,0.42581429270840787,-0.03211614583778269,0.5835386479096357,0,1,0.0,-1.1111111111111112
CMCSA,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.1481728168590383,-0.0475911108814632,-0.10729980062931778,0.2584204155025792,-1.380923505821992,1,0,1.1111111111111112,0.0
EXAS,2005-09-16,2006-03-17,2006-03-20,2006-09-15,1.2255668990316555,-0.5684540076242239,0.45926943266774445,0.30559527220997723,2.6685139742759323,1,0,0.5555555555555556,-1.1111111111111112
BAX,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.01912727702980261,-0.0780089272793448,-0.03070056904605231,0.1773800309749635,-0.6230267914940204,1,0,2.2222222222222223,0.0
NEE,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.23578135113808027,0.002224383961079111,-0.09895200086731659,0.11281555480471449,-2.382785078335468,1,0,0.5555555555555556,0.0
BKR,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.28359958811614816,0.10902339868177872,0.1662172874953273,0.004250738027516924,1.7061979075077898,1,1,0.0,-1.1111111111111112
AMD,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.08215045786656187,-0.02111957570147001,0.4611704668899014,-0.18024789030785013,0.17813468937110896,0,1,1.1111111111111112,-2.2222222222222223
LEN,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.13301340099969705,0.019211400859658966,0.021011265721245304,-0.20676396455406296,6.330575357257134,1,1,0.0,-0.5555555555555556
KO,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.04532482697326176,-0.10356717071283128,0.0024388261381882046,0.055581236030032316,18.584689684740468,1,0,0.0,0.0
CPRT,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0,0.08843016488882449,0.1498849403010684,0.07387961777488548,0.0,0,1,1.6666666666666667,-1.6666666666666667
BP,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0800525073221243,-0.04452449032462801,0.0115009038685819,-0.032094813530831906,6.960540513760074,1,0,1.1111111111111112,-0.5555555555555556
XOM,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0046143305871126986,-0.04235523915479009,-0.020745535361511802,0.08205820917070779,-0.22242523543998025,1,0,1.6666666666666667,-1.1111111111111112
JHX,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0629160065524607,-0.007689749188986104,0.052651876607174436,-0.23791304741564376,1.1949432880021535,1,1,2.2222222222222223,-1.6666666666666667
ABT,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.03484788063457849,0.014870795424519294,0.058913328603787576,0.13107595336245248,0.5915109782531979,0,0,0.0,-1.6666666666666667
ITUB,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.5409436566856916,-0.09694326798610609,0.4448749883491988,0.03001931036902501,1.2159453123965802,1,0,0.0,-1.1111111111111112
^VIX,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0,-0.17541434116245574,0.2512174875773692,0.3119624164870734,0.0,0,0,2.2222222222222223,-1.6666666666666667
APA,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.06198483032625661,-0.01490548433525839,-0.0735970024230682,-0.0021200608408389263,-0.8422194965216154,1,0,1.6666666666666667,-0.5555555555555556
SHEL,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.010670575516548101,-0.03825660504724179,-0.028271313699995915,0.08706041385319759,-0.3774347251698333,1,0,1.1111111111111112,-2.2222222222222223
CNQ,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.20462574174220974,0.03547173459824328,0.25699595071850906,-0.18465315616539996,0.7962216570732623,0,1,0.0,-0.5555555555555556
TEVA,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.1140925268499865,0.059285176507553605,0.25896690388959703,-0.16100860123035865,0.4405679843113331,0,1,0.5555555555555556,-2.2222222222222223
BCS,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0594694961066216,-0.021780585657419985,0.17871873320589518,0.10239468598911458,0.3327546868749848,0,0,1.1111111111111112,-1.1111111111111112
LYG,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.10002083250618421,-0.0437723679142148,0.1794479929368594,0.035105156093341215,0.5573806141224302,0,0,0.0,-2.2222222222222223
TSCO,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.1758806473949281,0.060247591106517596,0.2739701511258855,-0.29716375690422103,0.641970107590711,0,1,0.5555555555555556,-1.1111111111111112
VZ,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.2341553241159185,-0.058224120400767396,0.0793253790562075,0.07571133344044027,2.9518336615826732,1,0,0.5555555555555556,-0.5555555555555556
BMY,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.1106082398974386,-0.02532702708469688,-0.056832205104076904,0.12313338198052833,-1.946224674810375,1,0,1.1111111111111112,0.0
NEM,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0356438949752747,-0.1491569225995939,0.10968288121182028,-0.07376924825225192,0.3249722707998432,0,0,1.1111111111111112,-1.6666666666666667
USB,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.016510798132293815,0.029918179907924503,0.06625935055229538,0.09162542139483142,0.24918442445738462,0,0,0.0,-2.2222222222222223
CLF,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0,0.005589807905867508,0.1451295953816752,-0.17962341174958088,0.0,0,1,1.6666666666666667,-2.2222222222222223
BBD,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.6853592118221182,0.04373088125812648,0.6629933052653382,-0.12065342355999883,1.0337347396710574,1,1,0.0,-1.1111111111111112
DIS,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0796430012257581,-0.007444458922285922,0.1919918393517709,0.06552836124171899,0.41482492951085675,0,0,0.0,-1.1111111111111112
LUV,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0056023368190402,0.0011841232811351105,0.20145017101920812,-0.04983758887634222,0.027810037542762976,0,1,2.2222222222222223,-1.6666666666666667
WIT,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.17947105728289772,-0.33611784253486254,0.30319920107068105,-0.07562833304323328,0.591924571862773,0,0,0.0,-1.6666666666666667
BSX,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.07554733173788011,0.1648808493995811,-0.04389825144585752,-0.34644057694493513,-1.7209644860469535,1,1,1.6666666666666667,-0.5555555555555556
BB,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.6012935676685107,-0.08657593271724108,0.15561699172798957,0.015929944866614934,3.8639326013931736,1,0,0.5555555555555556,0.0
LNW,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.2848517939768565,0.06305624913661464,0.14773983208359995,-0.10967382925199709,1.9280636099252535,1,1,0.0,-0.5555555555555556
CVX,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.014556865661680303,-0.0495634084507899,-0.07323181333662332,0.11266920675318963,-0.19877789444823699,1,0,1.6666666666666667,-1.1111111111111112
BBWI,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0722429477364245,0.01914737261731123,0.2015328732144951,0.1326699355690687,0.35846731396289394,0,0,0.0,-1.6666666666666667
FAST,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.23419025199622756,0.12434278899389094,0.4257260865761085,-0.1150776056018755,0.5500960814492174,0,1,0.0,-2.2222222222222223
CCJ,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.1547383626292555,0.11225897940564596,0.3420170357117863,0.15842510070354,0.4524288163226222,0,0,0.0,-0.5555555555555556
GOOG,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.13982539968214042,-0.02250842326302878,0.16637987726148168,0.18339200546828952,0.8403985024125941,0,0,0.5555555555555556,-1.6666666666666667
ES,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0911833138986752,0.09597305581756749,0.03133553618972809,0.16954488742328513,2.90990118524174,1,0,0.5555555555555556,-0.5555555555555556
KR,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0,-0.0674471716553046,0.015436918822510512,0.11395188955915712,0.0,0,0,1.6666666666666667,-2.2222222222222223
HPQ,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.001469460128405,0.0043304813500533,0.2100683312244143,0.08533520615146763,0.00699515305253312,0,0,1.6666666666666667,-2.2222222222222223
IRM,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.1132397541765182,0.320151640773795,0.1375509343314102,0.02058175144608907,0.8232568882715291,0,1,0.0,-1.6666666666666667
ON,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.13416512246629503,0.0054427384718290835,0.30784545548241876,0.01025291809338935,0.4358197273240478,0,0,0.5555555555555556,-1.6666666666666667
AZN,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.09047109732024369,0.14480657706150596,0.09187899720639622,0.22091622903313296,0.9846765862823923,0,0,0.0,-1.6666666666666667
TGT,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0723165141759507,0.2103917983732109,0.026898871733367965,0.018335962581403433,2.6884590139237066,1,1,1.1111111111111112,-1.1111111111111112
HST,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0888333757573416,-0.03365095750822271,0.253034723856976,0.09689741230956672,0.3510718782120722,0,0,0.0,-1.1111111111111112
T,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.17008008137178648,0.2083961017951164,0.1495776480669093,0.21133655325828163,1.1370688306029924,1,0,0.0,-0.5555555555555556
GOOGL,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.13982340310474548,-0.022508781945488332,0.16637970258973878,0.18339232088090757,0.8403873845689208,0,0,0.5555555555555556,-1.6666666666666667
LUMN,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0486781252486573,-0.011810157230919518,0.09990427006416537,0.04938219589436601,0.48724769439176996,0,0,0.0,-1.6666666666666667
VALE,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0988049507174693,0.09173650056503492,0.16927892746587517,-0.020416115174613073,0.5836813370488027,0,1,1.1111111111111112,-1.6666666666666667
TJX,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0313251946890663,0.0344947114128618,0.20611518310608193,0.10776831055221803,0.15197907411286662,0,0,0.5555555555555556,-2.2222222222222223
CRM,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.3354250661597924,-0.1400123616260051,0.5599453375079163,-0.03394181153785851,0.5990318048769364,0,0,0.0,-1.6666666666666667
NFLX,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.03310639531967459,0.016629230601402797,0.1465789834469236,-0.12059067332594474,0.22586045107662006,0,1,1.6666666666666667,-1.1111111111111112
LRCX,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.2431081315731989,-0.0788662298035748,0.37875086880422393,0.01799613249257755,0.6418681819548812,0,0,0.0,-0.5555555555555556
CDE,2006-03-20,2006-09-15,2006-09-18,2007-03-20,0.5420992103660653,-0.7907462750964406,-0.13996333641108816,-0.12033889697668945,-3.873151528582161,1,0,0.5555555555555556,0.0
ORCL,2006-03-20,2006-09-15,2006-09-18,2007-03-20,0.0,-0.1461486199736431,0.18574941456405133,0.0975546144672261,0.0,0,0,2.2222222222222223,-1.6666666666666667
AMZN,2006-03-20,2006-09-15,2006-09-18,2007-03-20,0.48989340273266657,-0.44867625511118514,-0.05366853373060246,0.21072485685393794,-9.128130930346684,1,0,0.0,0.0
