Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Market_Return_Train,Market_Return_Test,Ratio_Train,Ratio_Test,Model_train_>_Market_train,Model_test_>_Market_test,Trigger_Up,Trigger_Down
CDE,2006-02-01,2006-08-01,2006-08-02,2007-07-18,0.5455861440957799,0.1068304315338614,0.03282736174648439,-0.1675540143750614,16.619859625308113,-0.6375880156158286,1,1,0.44555555555555554,-0.7722222222222221
ASX,2006-02-01,2006-08-01,2006-08-02,2007-07-18,0.1343603574203895,0.04080710862262444,0.023699860365413248,0.5415267152217447,5.6692467950769165,0.07535567032166589,1,0,0.11888888888888888,-0.99
OXY,2006-02-01,2006-08-01,2006-08-02,2007-07-18,0.4008511662250249,-0.1118986540788982,0.16793886602937957,0.19183612236311742,2.3868874174421255,-0.5833033565341286,1,0,0.8811111111111111,-0.7722222222222221
NVDA,2006-02-01,2006-08-01,2006-08-02,2007-07-18,0.5539085674832396,1.2322444511536226,0.004051940744468505,0.7768085332558478,136.70204043319396,1.5862910851260867,1,1,0.11888888888888888,-0.11888888888888888
CAG,2006-02-01,2006-08-01,2006-08-02,2007-07-18,0.11323267978733709,0.16675360001976952,0.048393778162465095,0.2385786209130376,2.3398189619995815,0.6989461142058976,1,0,0.11888888888888888,-0.01
EQT,2006-02-01,2006-08-01,2006-08-02,2007-07-18,0.1280573723110544,0.14179759665311117,0.00581137617587389,0.40540955876942764,22.035636385524068,0.3497638217597061,1,0,0.8811111111111111,-0.22777777777777777
PBR-A,2006-02-01,2006-08-01,2006-08-02,2007-07-18,0.3320772946596872,-0.5194376997905422,0.051279909060553394,0.4551063081545381,6.475777760595419,-1.1413546472182923,1,0,0.5544444444444444,-0.44555555555555554
MDLZ,2006-02-01,2006-08-01,2006-08-02,2007-07-18,0.18004666191176172,-0.2102873217208398,0.1269101555652811,0.1422325981026245,1.4186938871030523,-1.4784748681108395,1,0,0.11888888888888888,-0.7722222222222221
TXN,2006-02-01,2006-08-01,2006-08-02,2007-07-18,0.13776722866350796,0.01717820227264802,0.00216927729735171,0.30067937120035804,63.50835314217159,0.05713129638415169,1,0,0.44555555555555554,-0.8811111111111111
GGB,2006-02-01,2006-08-01,2006-08-02,2007-07-18,0.8311768300036538,0.7614470570920315,0.10901393477550578,0.6458067513975418,7.624500773367278,1.1790633272944906,1,1,0.33666666666666667,-0.22777777777777777
ABEV,2006-02-01,2006-08-01,2006-08-02,2007-07-18,0.29027046233940756,0.6169477934978984,0.0721970204783285,0.7669091689380134,4.02053243217341,0.8044600566612395,1,0,0.7722222222222221,-0.44555555555555554
EQNR,2006-02-01,2006-08-01,2006-08-02,2007-07-18,0.30856524956762055,-0.19222576380119882,0.16166875907369527,0.17847233965212195,1.908626325429787,-1.0770619367454084,1,0,0.44555555555555554,-0.8811111111111111
PBR,2006-02-01,2006-08-01,2006-08-02,2007-07-18,0.4388099350425777,0.44897208925457066,0.0587632415868321,0.47054390170517346,7.467422204647539,0.9541555795911283,1,0,0.7722222222222221,-0.7722222222222221
CTRA,2006-02-01,2006-08-01,2006-08-02,2007-07-18,0.3910295712213286,-0.4848796575861825,0.11716119102009777,0.35580551448821374,3.337534962018708,-1.3627659995197867,1,0,0.99,-0.22777777777777777
MU,2006-02-01,2006-08-01,2006-08-02,2007-07-18,0.08030457913571146,-0.10909912522334646,0.05669771424324421,-0.08654705743436336,1.416363608437356,1.2605757891432232,1,0,0.33666666666666667,-0.7722222222222221
DVN,2006-02-01,2006-08-01,2006-08-02,2007-07-18,0.0868979080021955,0.48452953004499266,0.01785044979367829,0.2792114078445668,4.868107471049288,1.7353500481424589,1,1,0.8811111111111111,-0.33666666666666667
APH,2006-02-01,2006-08-01,2006-08-02,2007-07-18,0.3294867139284031,-0.2973092359837091,0.089710030256635,0.3028198929933217,3.6727968208887556,-0.9818021961663724,1,0,0.22777777777777777,-0.7722222222222221
MS,2006-02-01,2006-08-01,2006-08-02,2007-07-18,0.2452551385458796,0.25083399017591707,0.0849341626321862,0.2907567862325479,2.8875911758614197,0.862693502105569,1,0,0.44555555555555554,-0.11888888888888888
PFE,2006-02-01,2006-08-01,2006-08-02,2007-07-18,0.20494845448433538,-0.048555210833577396,0.025512076653991234,0.03655351910975759,8.03338972612691,-1.3283320461644985,1,0,0.01,-0.11888888888888888
