Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Market_Return_Train,Market_Return_Test,Ratio_Train,Model_train_>_Market_train,Model_test_>_Market_test,C
CDE,2005-09-16,2006-03-17,2006-03-20,2006-09-15,-0.4755409439637164,0.33750185173137315,0.3948597588704037,-0.13996333641108816,-1.2043287098288304,0,1,0.1
ORCL,2005-09-16,2006-03-17,2006-03-20,2006-09-15,-0.05410714751265881,-0.2741585273694632,0.039314956401667926,0.18574941456405133,-1.3762484424467867,0,0,0.1
AMZN,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.44590897004725594,0.3138662854812979,-0.1436834398212168,-0.05366853373060246,-3.103412408570493,1,1,0.1
ASX,2005-09-16,2006-03-17,2006-03-20,2006-09-15,-0.0521903626089817,0.1783157392499822,0.3307058420712018,0.17270506014382936,-0.1578150609076479,0,1,0.1
PTEN,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.04787550509679675,0.5804530580535731,-0.09436802018148098,-0.07402844612435955,-0.5073276413421245,1,1,0.1
FHN,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.05683742798950232,-0.12685184461825688,0.0994432416026606,-0.019505122371031622,0.5715564685290955,0,0,0.1
KMB,2005-09-16,2006-03-17,2006-03-20,2006-09-15,-0.12229627625089019,-0.0670589833607773,-0.03807598434437702,0.11464230741860137,3.21190058134244,0,0,0.1
OXY,2005-09-16,2006-03-17,2006-03-20,2006-09-15,-0.2650867833411448,0.1322129174502707,0.1316449831998357,-0.016996687342790695,-2.0136489587206365,0,1,0.1
ERIC,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.06421758191637889,0.23047776440407416,0.050142296270951695,-0.07303772408633095,1.2807068421711123,1,1,0.1
AES,2005-09-16,2006-03-17,2006-03-20,2006-09-15,-0.03569043242671872,-0.09915770798274673,0.16135144465629284,0.1865076075495376,-0.22119685697729985,0,0,0.1
MSTR,2005-09-16,2006-03-17,2006-03-20,2006-09-15,-0.08598522219088968,0.12648158136890472,0.4080387759422359,-0.06670555457831973,-0.21072806620482115,0,1,0.1
MRK,2005-09-16,2006-03-17,2006-03-20,2006-09-15,-0.0524244452255887,-0.13060665962663187,0.24710648025446877,0.17386046090242857,-0.21215325948393712,0,0,0.1
NVDA,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.04371196119476222,0.3544605461716652,0.41065792692697345,0.27279650750630424,0.10644372926602592,0,1,0.1
CAG,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.008388680706581383,0.0446070769983247,-0.11165445517224652,0.1880639956977669,-0.07513072983644384,1,0,0.1
MCHP,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.29470070129963066,-0.14078853684284376,0.17508559835615325,-0.00012647842767108536,1.6831807074169538,1,0,0.1
FE,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.003555419994059309,-0.22980642579736232,0.006943590978036518,0.11466787085224242,0.5120434088507756,0,0,0.1
BA,2005-09-16,2006-03-17,2006-03-20,2006-09-15,-0.24297264746034872,0.1118083776790409,0.20099424689339435,-0.01799800546348539,-1.208853741914411,0,1,0.1
NVO,2005-09-16,2006-03-17,2006-03-20,2006-09-15,-0.015515302551207671,-0.025573559152304186,0.22199763897788333,0.17102113753976944,-0.06988949352183603,0,0,0.1
EQT,2005-09-16,2006-03-17,2006-03-20,2006-09-15,-0.07232526306574732,0.13594573688985018,0.005565682026318374,-0.026738565345762487,-12.99486077784245,0,1,0.1
INFY,2005-09-16,2006-03-17,2006-03-20,2006-09-15,-0.046962212253178336,0.05610202396971985,0.004366476602883787,0.2967905386638912,-10.7551732264322,0,0,0.1
UMC,2005-09-16,2006-03-17,2006-03-20,2006-09-15,-0.0908318126657787,-0.5252726987136926,-0.06645506650995037,0.0013336373762332324,1.3668154654871707,0,0,0.1
JNJ,2005-09-16,2006-03-17,2006-03-20,2006-09-15,-0.0028573710140280956,-0.0027564120960663022,-0.06004412863471696,0.0674053302610989,0.04758785045264176,1,0,0.1
PBR-A,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.1367534738282864,0.03774799237226238,0.34481969788379274,-0.04532193353324153,0.396594146644063,0,1,0.1
KEY,2005-09-16,2006-03-17,2006-03-20,2006-09-15,-0.05523430398413981,-0.1482892860349788,0.1391148841852669,0.017109986864549297,-0.3970409371191458,0,0,0.1
CNC,2005-09-16,2006-03-17,2006-03-20,2006-09-15,-0.04330518141523245,-0.07893735685521643,0.01103755912151564,-0.4504689094056426,-3.9234382292745473,0,1,0.1
MDLZ,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.10069290222164992,0.1510401842360445,0.0037064629172340125,0.1321406920077886,27.166844636015696,1,1,0.1
MDT,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.004675837337626202,0.1116122760193129,-0.0704223978576901,-0.12666523682104028,-0.06639701969642038,1,1,0.1
GAP,2005-09-16,2006-03-17,2006-03-20,2006-09-15,-0.07621708507447024,-0.3128094591366244,0.033784398783150385,0.004466230725245891,-2.2559846503020418,0,0,0.1
MSFT,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.096971187526841,-0.1904552179903397,0.06507073647134928,-0.013692842671027654,1.4902426618382831,1,0,0.1
GSK,2005-09-16,2006-03-17,2006-03-20,2006-09-15,-0.1019051396342919,-0.022339130601809788,0.11740165725906503,0.0400501442537504,-0.8680042685378994,0,0,0.1
