Ticker,Train Start,Train End,Test Start,Test End,Return_Predicted_Train,Return_Predicted_Test,Market_Return_Train,Market_Return_Test,Ratio_Train,Ratio_Test,Model_train_>_Market_train,Model_test_>_Market_test,C
TU,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.19772099424864562,-0.2637389410885934,0.04262264327608359,0.3314325915511197,4.638872182748712,-0.7957543941417562,1,0,1.12
CTRA,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.05403496153667074,-0.020939637609045443,0.08127250707956933,0.030112209211430367,0.6648615070255942,-0.6953869595558241,0,0,1.12
MU,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.5044314100252283,0.0713965019203032,0.17109483683652035,0.22991565467746153,2.948256179742047,0.31053345201944677,1,0,0.01
WMT,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.049775951613149294,0.1197449212931942,0.07530804799501845,0.024245800183193108,0.660964570698233,4.938790239482379,0,1,1.12
PPL,2005-09-16,2006-03-17,2006-03-20,2006-09-15,-0.03871447345833481,-0.12783331915806495,-0.0060751987571903,0.08382993539694428,6.372544340629894,-1.5249125333660303,0,0,0.01
CCL,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.09006709802462158,0.039224973450355125,0.05986988059730861,-0.10587111649616959,1.5043807858983846,-0.3704974005046436,1,1,2.23
B,2005-09-16,2006-03-17,2006-03-20,2006-09-15,-0.3305964866516999,-0.0322997860374714,-0.057736763680109514,0.12565430384879014,5.7259268718865055,-0.25705276340029154,0,0,1.12
CSCO,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.16166675671242126,-0.05486687400949649,0.17145810418621363,0.07082141814075105,0.9428936443671487,-0.7747214818609482,0,0,1.12
HAL,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.4102264986199936,0.08247862616331066,0.12255770421265845,-0.12977569266431352,3.3472110240265343,-0.6355475703501378,1,1,0.01
LOW,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.05948732761715528,0.13811304229228338,0.06257058785567442,-0.12927676283240536,0.9507234893552383,-1.0683516454641844,0,1,1.12
EXAS,2005-09-16,2006-03-17,2006-03-20,2006-09-15,1.183219569362562,-0.43647443937816094,0.45926943266774445,0.30559527220997723,2.576308121552158,-1.4282761517274243,1,0,0.01
BAX,2005-09-16,2006-03-17,2006-03-20,2006-09-15,-0.047272826455885285,0.13810840648102368,-0.03070056904605231,0.1773800309749635,1.5398029393192616,0.7786017722621615,0,0,1.12
BKR,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.1684760945062195,-0.05960654879066313,0.1662172874953273,0.004250738027516924,1.0135894830491425,-14.022635223531381,1,0,0.01
LEN,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.11720093728066801,0.02759120262533536,0.021011265721245304,-0.20676396455406296,5.578004620738369,-0.13344299469611415,1,1,0.01
KO,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.028114234768566206,-0.03345674074137398,0.0024388261381882046,0.055581236030032316,11.527773271059072,-0.6019430860317003,1,0,4.45
XOM,2005-09-16,2006-03-17,2006-03-20,2006-09-15,-0.10025100818048668,0.036219774817370494,-0.020745535361511802,0.08205820917070779,4.832413646286399,0.44139124145424097,0,0,0.01
APA,2005-09-16,2006-03-17,2006-03-20,2006-09-15,-0.1644843478399262,0.31166936291624603,-0.0735970024230682,-0.0021200608408389263,2.234932706829515,-147.0096314749702,0,1,1.12
SHEL,2005-09-16,2006-03-17,2006-03-20,2006-09-15,-0.06236006860707561,-0.16595743998523504,-0.028271313699995915,0.08706041385319759,2.205771874233231,-1.9062330701192698,0,0,0.01
CNQ,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.34110377114813406,-0.01600247911651537,0.25699595071850906,-0.18465315616539996,1.3272729402719243,0.0866623644503613,1,1,0.01
VZ,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.0888055957804449,-0.005247473531561199,0.0793253790562075,0.07571133344044027,1.119510512739183,-0.06930895670579124,1,0,0.01
BB,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.4396725348511279,0.17602915341830555,0.15561699172798957,0.015929944866614934,2.825350432295033,11.05020481189595,1,1,0.01
LNW,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.14609380783969905,0.32164607698302,0.14773983208359995,-0.10967382925199709,0.9888586292492232,-2.932751406390445,0,1,3.34
CVX,2005-09-16,2006-03-17,2006-03-20,2006-09-15,-0.17836989797497557,-0.08247082256549462,-0.07323181333662332,0.11266920675318963,2.435688669281832,-0.7319730469581912,0,0,1.12
T,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.11665913552552781,0.16775455535590997,0.1495776480669093,0.21133655325828163,0.7799235850622793,0.7937791771918007,0,0,1.12
CRM,2005-09-16,2006-03-17,2006-03-20,2006-09-15,0.34600142033188774,0.022587963145089752,0.5599453375079163,-0.03394181153785851,0.617919995319179,-0.6654907950300549,0,1,0.01
FHN,2006-03-20,2006-09-15,2006-09-18,2007-03-20,-0.11782771472221819,0.0585024372497332,-0.019505122371031622,0.10167815118265648,6.040860061314565,0.5753688139415355,0,0,0.01
NVDA,2006-03-20,2006-09-15,2006-09-18,2007-03-20,0.44147429956825074,-0.32104110714554995,0.27279650750630424,-0.03143454086467193,1.6183282682167344,10.213004494885297,1,0,1.12
MCHP,2006-03-20,2006-09-15,2006-09-18,2007-03-20,-0.04615700145141648,-0.09591342034013763,-0.00012647842767108536,0.08765532868371569,364.9397158181828,-1.0942109485005684,0,0,0.01
MDLZ,2006-03-20,2006-09-15,2006-09-18,2007-03-20,0.11112052520707459,-0.1448602863702148,0.1321406920077886,-0.05614309891427198,0.840925861055162,2.5801975518203943,0,0,1.12
MDT,2006-03-20,2006-09-15,2006-09-18,2007-03-20,-0.1686372988563471,0.06474256820011791,-0.12666523682104028,0.07314670108603469,1.3313621249894103,0.8851057838407246,0,0,7.78
MSFT,2006-03-20,2006-09-15,2006-09-18,2007-03-20,-0.13766499670074084,-0.1087491198315538,-0.013692842671027654,0.05186406250913228,10.053792335759674,-2.0968106733329104,0,0,8.89
TXN,2006-03-20,2006-09-15,2006-09-18,2007-03-20,0.118745721513565,-0.04318301894430129,0.07968832782867512,-0.01617036532737277,1.4901269075298056,2.670503607683013,1,0,4.45
ABEV,2006-03-20,2006-09-15,2006-09-18,2007-03-20,0.1056929498857179,-0.07208115149534437,0.12363565918292152,0.2259709555209187,0.8548743184953055,-0.31898414258230473,0,0,0.01
FCX,2006-03-20,2006-09-15,2006-09-18,2007-03-20,0.3593256451271621,-0.3117765843916002,0.09212850290526223,0.22614363143330318,3.900265757022716,-1.3786662149871458,1,0,4.45
IAG,2006-03-20,2006-09-15,2006-09-18,2007-03-20,0.21643065179214557,-0.020378235249203278,0.14984731030441,-0.16940686956537043,1.444341252121734,0.12029166999830405,1,1,0.01
F,2006-03-20,2006-09-15,2006-09-18,2007-03-20,0.3898061520320268,0.2454063486578036,0.07665113897474372,0.02943310289183059,5.085458053799651,8.337766818527252,1,1,1.12
TSM,2006-03-20,2006-09-15,2006-09-18,2007-03-20,0.19801881856461973,-0.047391609152416386,0.1011168609017666,0.1512731532985484,1.9583165141666317,-0.31328499551328615,1,0,3.34
CTRA,2006-03-20,2006-09-15,2006-09-18,2007-03-20,0.09918868793817869,0.18582521347383713,0.030112209211430367,0.3863992502632838,3.293969141942844,0.48091504667056156,1,0,1.12
MU,2006-03-20,2006-09-15,2006-09-18,2007-03-20,0.17545304623943977,-0.06287813134497988,0.22991565467746153,-0.4475587540516357,0.7631191816215172,0.14049134504857771,0,1,10.0
WMT,2006-03-20,2006-09-15,2006-09-18,2007-03-20,0.1131465564434884,0.0334414672917749,0.024245800183193108,-0.0007634007622808088,4.666645587631304,-43.80591288887633,1,1,1.12
APH,2006-03-20,2006-09-15,2006-09-18,2007-03-20,0.167546981038026,-0.028259728366119827,0.21268984048516748,0.09442647716552989,0.7877526291610076,-0.2992775883884818,0,0,0.01
MS,2006-03-20,2006-09-15,2006-09-18,2007-03-20,0.2633857721952516,-0.05482425048634058,0.18304241388819414,0.09061643803820271,1.4389330133950962,-0.6050144065829136,1,0,1.12
PFE,2006-03-20,2006-09-15,2006-09-18,2007-03-20,0.21631109119974382,-0.019210661103533908,0.0833564595447638,-0.06675766966600827,2.5950129405817814,0.2877671015127661,1,1,1.12
B,2006-03-20,2006-09-15,2006-09-18,2007-03-20,0.3105025091109792,-0.3261533607677889,0.12565430384879014,-0.021391995845667228,2.4710853476585384,15.246513841944699,1,0,0.01
MNST,2006-03-20,2006-09-15,2006-09-18,2007-03-20,0.5417844234012562,-0.621953912499283,0.2754649138314095,0.12697055309000407,1.9668001120928238,-4.898410673681212,1,0,0.01
